player_display_name,recent_team,season,week,season_type,fantasy_points
Daniel Carlson,LV,2023,16,REG,6.0
Daniel Carlson,LV,2023,17,REG,9.0
Daniel Carlson,LV,2023,18,REG,10.0
Eddy Pineiro,CAR,2023,1,REG,5.0
Eddy Pineiro,CAR,2023,2,REG,13.0
Eddy Pineiro,CAR,2023,3,REG,11.0
Eddy Pineiro,CAR,2023,4,REG,9.0
Eddy Pineiro,CAR,2023,5,REG,6.0
Eddy Pineiro,CAR,2023,6,REG,3.0
Eddy Pineiro,CAR,2023,8,REG,10.0
Eddy Pineiro,CAR,2023,9,REG,8.0
Eddy Pineiro,CAR,2023,10,REG,7.0
Eddy Pineiro,CAR,2023,11,REG,5.0
Eddy Pineiro,CAR,2023,12,REG,6.0
Eddy Pineiro,CAR,2023,13,REG,4.0
Eddy Pineiro,CAR,2023,14,REG,7.0
Eddy Pineiro,CAR,2023,15,REG,9.0
Eddy Pineiro,CAR,2023,16,REG,6.0
Greg Joseph,MIN,2023,1,REG,5.0
Greg Joseph,MIN,2023,2,REG,4.0
Greg Joseph,MIN,2023,3,REG,6.0
Greg Joseph,MIN,2023,4,REG,3.0
Greg Joseph,MIN,2023,5,REG,9.0
Greg Joseph,MIN,2023,6,REG,11.0
Greg Joseph,MIN,2023,7,REG,12.0
Greg Joseph,MIN,2023,8,REG,6.0
Greg Joseph,MIN,2023,9,REG,11.0
Greg Joseph,MIN,2023,10,REG,10.0
Greg Joseph,MIN,2023,11,REG,8.0
Greg Joseph,MIN,2023,12,REG,4.0
Greg Joseph,MIN,2023,14,REG,3.0
Greg Joseph,MIN,2023,15,REG,6.0
Greg Joseph,MIN,2023,16,REG,6.0
Greg Joseph,MIN,2023,17,REG,6.0
Greg Joseph,MIN,2023,18,REG,9.0
Jason Sanders,MIA,2023,1,REG,14.0
Jason Sanders,MIA,2023,2,REG,6.0
Jason Sanders,MIA,2023,3,REG,10.0
Jason Sanders,MIA,2023,4,REG,2.0
Jason Sanders,MIA,2023,5,REG,8.0
Jason Sanders,MIA,2023,6,REG,6.0
Jason Sanders,MIA,2023,7,REG,6.0
Jason Sanders,MIA,2023,8,REG,7.0
Jason Sanders,MIA,2023,9,REG,2.0
Jason Sanders,MIA,2023,11,REG,11.0
Jason Sanders,MIA,2023,12,REG,12.0
Jason Sanders,MIA,2023,13,REG,10.0
Jason Sanders,MIA,2023,14,REG,9.0
Jason Sanders,MIA,2023,15,REG,12.0
Jason Sanders,MIA,2023,16,REG,22.0
Jason Sanders,MIA,2023,17,REG,7.0
Jason Sanders,MIA,2023,18,REG,2.0
Austin Seibert,NYJ,2023,2,REG,4.0
Matthew Wright,CAR,2023,18,REG,0.0
Joey Slye,WAS,2023,1,REG,8.0
Joey Slye,WAS,2023,2,REG,11.0
